Last Updated: 7/7/2026 2:06:00 AM
PRODUCT	INCI	PRODUCT_ID
 Apple Seed Oil (SAP only)	Pyrus Malus Apple Seed Oil	apple seed oil
Absolute: Bourbon Vanilla	Vanilla planifolia Bean Extract	absvanillamad
Absolute: Bourbon Vanilla, 20X	Vanilla planifolia Extract	absvanilla25
Absolute: Jasmine Auriculatum, India	Jasmine Auriculatum (Jasmine) Extract	absjasaur
Absolute: Jasmine Sambac, India	Jasminum sambac (Jasmine) Extract	absjasmine
Absolute: Pink Lotus	Nelumbo Nucifera Extract	absplotus
Absolute: Rose Damascena, India	Rosa Damascena Extract	absrosed
Absolute: Vanilla Bourbon	Vanilla Planifolia Bean Extract	absvanbourmg798
Absolute: White Lotus	Nelumbo Nucifera Extract	abswlotus
Aloe: Aloe Moist TEST	Aloe barbadensis Leaf Juice (and) Glycerin (and) Glyceryl Acrylate/Acrylic Acid Copolymer (and) Propylene Glycol	othaloemoistus101
Aloe: Aloe Vera Inner Leaf Gel 1:1 Decolorized	Aloe Barbadensis Leaf Juice	aloe11dcus101
Aloe: Aloe Vera Inner Leaf Gel 40X (Decolorized)	Aloe Barbadensis Leaf Juice	aloeveragel40xdecus101
Aloe: Aloe Vera Leaf Powder	Aloe Barbadensis Leaf	herbaloepwdmx100
Arabian Fragrance Oil: Abal	Fragrance	afoabal
Arabian Fragrance Oil: Isra	Fragrance	afoisra
Arabian Fragrance Oil: Jannah	Fragrance	afojannah
Arabian Fragrance Oil: Motia	Fragrance	afomotia
Arabian Fragrance Oil: Musk Ghazala	Fragrance	afomuskghazala
Arabian Fragrance Oil: Rose	Fragrance	aforose
Arabian Fragrance Oil: Ruh	Fragrance	aforuh
Arabian Fragrance Oil: Safa	Fragrance	afosafa
Arabian Fragrance Oil: Sandalwood	Fragrance	afosandalwood
Attar: Bakul (Mimusops Elengi)	Mimusops Elengi	attarbakul
Attar: Chameli (Jasmine Grandiflorum)	Jasminum Grandiflorum	attarchameli
Attar: Jasmine Motia	Jasminum Sambac	attarjasmine
Attar: Juhi (Jasmine Auriculatum)	Jasminum Auriculatum	attarjuhi
Attar: Kewra	Pandanus odoratissimus	attarkewra
Attar: Mogra (Jasmine Sambac)	Jasminum Sambac	attarmogra
Attar: Rose Damascena	Rosa Damascena	attarrose
Ayurvedic Extract: Amla	Emblica Officinalis (Amla) Extract	ayrextamlaliqin408
Ayurvedic Extract: Ashwagandha Root	Withania Somnifera (Ashwagandha) Root Extract	ayrextashwaliqin408
Ayurvedic Extract: Calendula	Calendula Officinalis (Calendula) Extract	ayrextcalendulaliqin408
Ayurvedic Extract: Ginger	Alpinia Galanga (Ginger) Extract	ayrextgingerliqin408
Ayurvedic Extract: Henna Leaf	Lawsonia Alba (Henna) Leaf Extract	ayrexthennaliqin408
Ayurvedic Extract: Holy Basil (Tulsi)	Ocimum Sanctum (Holy Basil) Extract	ayrexttulsiliqin408
Ayurvedic Extract: Moringa	Moringa Oleifera (Moringa) Extract	ayrextmoringaliqin408
Ayurvedic Extract: Neem Leaf	Azadirachta Indica (Neem) Leaf Extract	ayrextneemliqin408
